kode_aturan,BARIS_ASLI,TGL,KODE,NAMA_BARANG,QTY,SATUAN_K,HARGA,JUMLAH,PELANGGAN,SKOR_ANOMALI,kategori,tingkat,deskripsi,tindakan,saran
A01,636,2020-04-18,MIT-019,MITRAKU BAKSO IKAN ISI AYAM 500 GR X 20,11.0,PACK,28000.0,292600.0,RAISYA FROZEN,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,672,2020-04-20,OKEY-003,OKEY STICK 500 GR X 10 PACK,25.0,DUS,185000.0,4500000.0,HITE,2,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,673,2020-04-20,OKEY-004,OKEY STICK 1000 GR X 5 PACK,8.0,DUS,185000.0,1440000.0,HITE,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,821,2020-04-24,MIT-010,MITRAKU FISH ROLL 250 GR X 25 PACK,2.0,DUS,325000.0,624000.0,ADEK FROZEN,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,824,2020-04-24,BF-011,BF SAMOSA 144 GR X 40 PACK,1.0,DUS,544000.0,489600.0,ADEK FROZEN,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,825,2020-04-24,BF-004,BF DIMSUM SIOMAY REG-NEW 200 GR X 48 PAK,2.0,DUS,825600.0,1486080.0,ADEK FROZEN,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,826,2020-04-24,BF-007,BF LUMPIA AYAM 210 GR X 32 PACK,1.0,DUS,681600.0,613440.0,ADEK FROZEN,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,830,2020-04-24,BF-004,BF DIMSUM SIOMAY REG-NEW 200 GR X 48 PAK,4.0,PACK,17200.0,61920.0,ADEK FROZEN,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,1162,2020-05-05,MIT-016,MITRAKU FISH CAKE SINGAPORE 1000 GR X 10,13.0,PACK,52000.0,621920.0,PAK ERWIN,3,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,1163,2020-05-05,MIT-014,MITRAKU SCALLOP 400 GR X 23 PACK,3.0,PACK,18700.0,47685.0,PAK ERWIN,3,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,1165,2020-05-05,MIT-011,MITRAKU FISH ROLL 1000 GR X 10 PACK,11.0,PACK,46000.0,465520.0,PAK ERWIN,3,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,1166,2020-05-05,MIT-004,MITRAKU BAKSO PILUS IKAN 400GR X 23 PACK,11.0,PACK,14900.0,150788.0,PAK ERWIN,3,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,1167,2020-05-05,MIT-005,MITRAKU CHILI&CELERY FISHCAKE 500GR X 20,18.0,PACK,28900.0,468180.0,PAK ERWIN,3,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,1168,2020-05-05,MIT-007,MITRAKU FISH CAKE 1000 GR X 10 PACK,4.0,PACK,57800.0,208080.0,PAK ERWIN,3,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,1170,2020-05-05,MIT-012,MITRAKU FISH TOFU 500 GR X 20 PACK,3.0,PACK,24900.0,68724.0,PAK ERWIN,3,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,1171,2020-05-05,MIT-013,MITRAKU SCALLOP 200 GR X 40 PACK,25.0,PACK,9900.0,210375.0,PAK ERWIN,3,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,1173,2020-05-05,MIT-001,MITRAKU BAKSO COIN 500 GR X 20 PACK,1.0,PACK,16400.0,15088.0,PAK ERWIN,3,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,1174,2020-05-05,MIT-010,MITRAKU FISH ROLL 250 GR X 25 PACK,26.0,PACK,13000.0,310960.0,PAK ERWIN,3,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,1416,2020-05-13,MIT-010,MITRAKU FISH ROLL 250 GR X 25 PACK,3.0,DUS,325000.0,936000.0,ADEK FROZEN,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,1428,2020-05-13,MIT-004,MITRAKU BAKSO PILUS IKAN 400GR X 23 PACK,5.0,PACK,14900.0,68540.0,PAK ERWIN,3,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,1658,2020-05-20,BF-006,BF HAKAU UDANG 222 GR X 32 PACK,35.0,PACK,27350.0,861525.0,MALINDO PADANG,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,1661,2020-05-20,BF-004,BF DIMSUM SIOMAY REG-NEW 200 GR X 48 PAK,48.0,PACK,18200.0,786240.0,MALINDO PADANG,2,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,1667,2020-05-20,MIT-014,MITRAKU SCALLOP 400 GR X 23 PACK,33.0,PACK,18700.0,524535.0,MALINDO PADANG,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,1730,2020-05-22,OKEY-003,OKEY STICK 500 GR X 10 PACK,20.0,DUS,185000.0,3600000.0,HITE,2,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,1731,2020-05-22,OKEY-004,OKEY STICK 1000 GR X 5 PACK,10.0,DUS,185000.0,1800000.0,HITE,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,1912,2020-05-30,MIT-004,MITRAKU BAKSO PILUS IKAN 400GR X 23 PACK,3.0,PACK,14900.0,41124.0,PAK ERWIN,3,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,2180,2020-06-05,OKEY-003,OKEY STICK 500 GR X 10 PACK,40.0,DUS,185000.0,7200000.0,HITE,2,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,2185,2020-06-05,OKEY-003,OKEY STICK 500 GR X 10 PACK,5.0,DUS,185000.0,900000.0,HITE,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,2326,2020-06-09,MIT-014,MITRAKU SCALLOP 400 GR X 23 PACK,11.0,PACK,18700.0,174845.0,PAK ERWIN,3,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,2333,2020-06-09,MIT-009,MITRAKU FISH ROLL 500 GR X 20 PACK,5.0,PACK,23400.0,107640.0,PAK ERWIN,3,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,2568,2020-06-16,OKEY-004,OKEY STICK 1000 GR X 5 PACK,10.0,DUS,185000.0,1800000.0,HITE,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,2682,2020-06-17,MIT-009,MITRAKU FISH ROLL 500 GR X 20 PACK,20.0,PACK,24000.0,441600.0,EDI / SEAFOOD 99,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,2890,2020-06-23,OKEY-003,OKEY STICK 500 GR X 10 PACK,14.0,DUS,185000.0,2520000.0,HITE,2,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,2985,2020-06-26,MIT-009,MITRAKU FISH ROLL 500 GR X 20 PACK,17.0,PACK,23400.0,365976.0,PAK ERWIN,4,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,3026,2020-06-26,MIT-009,MITRAKU FISH ROLL 500 GR X 20 PACK,1.0,DUS,468000.0,449280.0,ADEK FROZEN,2,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,3221,2020-07-02,OKEY-004,OKEY STICK 1000 GR X 5 PACK,2.0,DUS,185000.0,360000.0,HITE,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,3222,2020-07-02,OKEY-003,OKEY STICK 500 GR X 10 PACK,13.0,DUS,185000.0,2340000.0,HITE,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,3669,2020-07-13,BF-006,BF HAKAU UDANG 222 GR X 32 PACK,2.0,DUS,875200.0,1575360.0,ANTON,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,4193,2020-07-25,OKEY-003,OKEY STICK 500 GR X 10 PACK,15.0,DUS,185000.0,2700000.0,HITE,2,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,4194,2020-07-25,OKEY-004,OKEY STICK 1000 GR X 5 PACK,5.0,DUS,185000.0,900000.0,HITE,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
