BARIS_ASLI,TGL,BULAN,HARI,KODE,NAMA_BARANG,BRAND,QTY,SATUAN,HARGA,HARGA_EFEKTIF,OMZET,RASIO,PELANGGAN,SUMBER_HARGA,TINGKAT_TERTINGGI,SKOR_ANOMALI,FLAG
29,2020-04-01,2020-04-01,Wednesday,JUL-002,KENTANG 500 GR,KENTANG,10.0,BKS,15000.0,15000.0,150000.0,1.0,TOSERBA JIMMY,asli,bersih,0,
30,2020-04-01,2020-04-01,Wednesday,DEN-002,DEN BAGUS BINTANG ISI 13 X 50 PACK,DEN,4.0,PACK,6000.0,6000.0,24000.0,1.0,TOSERBA JIMMY,asli,bersih,0,
31,2020-04-01,2020-04-01,Wednesday,DEN-004,DEN BAGUS STICK ISI 32 X 30 PACK,DEN,1.0,BAL,390000.0,390000.0,390000.0,1.0,TOSERBA JIMMY,asli,bersih,0,
32,2020-04-01,2020-04-01,Wednesday,HOME-001,KULIT LUMPIA HOMEMADE,KULIT,50.0,BKS,9000.0,9000.0,450000.0,1.0,TOSERBA JIMMY,asli,bersih,0,
33,2020-04-01,2020-04-01,Wednesday,LUTOSA-002,LUTOSA SHOESTRING 2.5 KG X 4 PACK,LUTOSA,2.0,DUS,235000.0,235000.0,470000.0,1.0,AMANAH FROZEN,asli,peringatan,2,R02
34,2020-04-02,2020-04-01,Thursday,DEN-001,DEN BAGUS IKAN ISI 32 X 20 PACK,DEN,2.0,PACK,13000.0,13000.0,26000.0,1.0,SALES INDAH,asli,bersih,0,
35,2020-04-02,2020-04-01,Thursday,CONE-005,CONE TP 17 ISI 20 ( SEDANG ),CONE,4.0,BKS,5000.0,5000.0,20000.0,1.0,CASH,asli,bersih,0,
36,2020-04-02,2020-04-01,Thursday,MIT-014,MITRAKU SCALLOP 400 GR X 23 PACK,MITRAKU,1.0,PACK,18700.0,18700.0,18700.0,1.0,SALES INDAH,asli,bersih,0,
37,2020-04-02,2020-04-01,Thursday,MIT-004,MITRAKU BAKSO PILUS IKAN 400GR X 23 PACK,MITRAKU,1.0,PACK,14900.0,14900.0,14900.0,1.0,SALES INDAH,asli,bersih,0,
38,2020-04-02,2020-04-01,Thursday,MIT-009,MITRAKU FISH ROLL 500 GR X 20 PACK,MITRAKU,1.0,PACK,23400.0,23400.0,23400.0,1.0,SALES INDAH,asli,bersih,0,
39,2020-04-02,2020-04-01,Thursday,MIT-002,MITRAKU BAKSO IKAN 400 GR X 23 PACK,MITRAKU,1.0,PACK,19300.0,19300.0,19300.0,1.0,SALES INDAH,asli,bersih,0,
40,2020-04-02,2020-04-01,Thursday,JUL-002,KENTANG 500 GR,KENTANG,2.0,BKS,15000.0,15000.0,30000.0,1.0,SALES INDAH,asli,bersih,0,
41,2020-04-02,2020-04-01,Thursday,MIT-010,MITRAKU FISH ROLL 250 GR X 25 PACK,MITRAKU,13.0,PACK,13000.0,11960.0,155480.0,0.92,RAISYA FROZEN,asli,info,1,A01
42,2020-04-02,2020-04-01,Thursday,MIT-009,MITRAKU FISH ROLL 500 GR X 20 PACK,MITRAKU,6.0,PACK,23400.0,21528.0,129168.0,0.92,RAISYA FROZEN,asli,info,1,A01
43,2020-04-02,2020-04-01,Thursday,MIT-011,MITRAKU FISH ROLL 1000 GR X 10 PACK,MITRAKU,4.0,PACK,46000.0,42320.0,169280.0,0.92,RAISYA FROZEN,asli,info,1,A01
44,2020-04-02,2020-04-01,Thursday,MIT-018,MITRAKU BAKSO IKAN ISI TUNA 500 GR X 20,MITRAKU,7.0,PACK,28000.0,28000.0,196000.0,1.0,RAISYA FROZEN,asli,bersih,0,
45,2020-04-02,2020-04-01,Thursday,MIT-002,MITRAKU BAKSO IKAN 400 GR X 23 PACK,MITRAKU,3.0,PACK,19300.0,19300.0,57900.0,1.0,RAISYA FROZEN,asli,bersih,0,
46,2020-04-02,2020-04-01,Thursday,MIT-021,MITRAKU BAKSO IKAN 200 GR X 40 PACK,MITRAKU,20.0,PACK,9900.0,9900.0,198000.0,1.0,RAISYA FROZEN,asli,bersih,0,
47,2020-04-02,2020-04-01,Thursday,MIT-020,MITRAKU BAKSO IKAN PELOR 500GR X 20 PACK,MITRAKU,21.0,PACK,16400.0,16400.0,344400.0,1.0,RAISYA FROZEN,asli,bersih,0,
48,2020-04-02,2020-04-01,Thursday,MIT-015,MITRAKU SIOMAY 500 GR X 15 PACK,MITRAKU,3.0,PACK,42600.0,42600.0,127800.0,1.0,RAISYA FROZEN,asli,bersih,0,
49,2020-04-02,2020-04-01,Thursday,MIT-008,MITRAKU FISH CAKE 500 GR X 20 PACK,MITRAKU,10.0,PACK,28900.0,28900.0,289000.0,1.0,RAISYA FROZEN,asli,bersih,0,
50,2020-04-02,2020-04-01,Thursday,MIT-016,MITRAKU FISH CAKE SINGAPORE 1000 GR X 10,MITRAKU,6.0,PACK,52000.0,47840.0,287040.0,0.92,RAISYA FROZEN,asli,info,1,A01
51,2020-04-02,2020-04-01,Thursday,LUTOSA-002,LUTOSA SHOESTRING 2.5 KG X 4 PACK,LUTOSA,1.0,DUS,250000.0,250000.0,250000.0,1.0,MAJU JAYA,asli,peringatan,2,R02
52,2020-04-02,2020-04-01,Thursday,DEN-002,DEN BAGUS BINTANG ISI 13 X 50 PACK,DEN,50.0,PACK,5000.0,5000.0,250000.0,1.0,MAJU JAYA,asli,info,1,S03
53,2020-04-02,2020-04-01,Thursday,DEN-003,DEN BAGUS AYAM ISI 13 X 50 PACK,DEN,50.0,PACK,5000.0,5000.0,250000.0,1.0,MAJU JAYA,asli,info,1,S03
54,2020-04-02,2020-04-01,Thursday,CHOP-001,CHOP BURGER SAPI ISI 10 250GR X 24 PACK,CHOP,24.0,PACK,9000.0,9000.0,216000.0,1.0,MAJU JAYA,asli,info,1,S03
55,2020-04-02,2020-04-01,Thursday,MIN-001,MINAKU OTAK OTAK 500 GR X 20 PACK,MINAKU,20.0,PACK,16500.0,16500.0,330000.0,1.0,MAJU JAYA,asli,bersih,0,
56,2020-04-02,2020-04-01,Thursday,JOF-023,JOFRANS NUGGET AYAM HATI 500 GR X 12 PAK,JOFRANS,12.0,PACK,17500.0,17500.0,210000.0,1.0,MAJU JAYA,asli,bersih,0,
57,2020-04-02,2020-04-01,Thursday,MIT-004,MITRAKU BAKSO PILUS IKAN 400GR X 23 PACK,MITRAKU,10.0,PACK,14900.0,14155.0,141550.0,0.95,MAJU JAYA,asli,info,1,A01
58,2020-04-02,2020-04-01,Thursday,MIT-009,MITRAKU FISH ROLL 500 GR X 20 PACK,MITRAKU,10.0,PACK,23400.0,22230.0,222300.0,0.95,MAJU JAYA,asli,info,1,A01
59,2020-04-02,2020-04-01,Thursday,MIT-010,MITRAKU FISH ROLL 250 GR X 25 PACK,MITRAKU,5.0,PACK,13000.0,12350.0,61750.0,0.95,MAJU JAYA,asli,info,1,A01
61,2020-04-02,2020-04-01,Thursday,LUTOSA-002,LUTOSA SHOESTRING 2.5 KG X 4 PACK,LUTOSA,2.0,DUS,250000.0,250000.0,500000.0,1.0,DARTO,asli,peringatan,2,R02
62,2020-04-02,2020-04-01,Thursday,CHOP-001,CHOP BURGER SAPI ISI 10 250GR X 24 PACK,CHOP,24.0,PACK,9000.0,9000.0,216000.0,1.0,DARTO,asli,info,1,S03
63,2020-04-02,2020-04-01,Thursday,LUTOSA-002,LUTOSA SHOESTRING 2.5 KG X 4 PACK,LUTOSA,20.0,DUS,240000.0,240000.0,4800000.0,1.0,HENGKY,asli,peringatan,2,R02
64,2020-04-02,2020-04-01,Thursday,DEN-003,DEN BAGUS AYAM ISI 13 X 50 PACK,DEN,5.0,PACK,5000.0,5000.0,25000.0,1.0,HENGKY,asli,bersih,0,
65,2020-04-02,2020-04-01,Thursday,DEN-002,DEN BAGUS BINTANG ISI 13 X 50 PACK,DEN,5.0,PACK,5000.0,5000.0,25000.0,1.0,HENGKY,asli,bersih,0,
66,2020-04-02,2020-04-01,Thursday,DEN-004,DEN BAGUS STICK ISI 32 X 30 PACK,DEN,5.0,PACK,12000.0,12000.0,60000.0,1.0,HENGKY,asli,bersih,0,
67,2020-04-02,2020-04-01,Thursday,MIT-004,MITRAKU BAKSO PILUS IKAN 400GR X 23 PACK,MITRAKU,6.0,PACK,14900.0,14900.0,89400.0,1.0,RETRO,asli,bersih,0,
68,2020-04-02,2020-04-01,Thursday,MIT-009,MITRAKU FISH ROLL 500 GR X 20 PACK,MITRAKU,6.0,PACK,23400.0,23400.0,140400.0,1.0,RETRO,asli,bersih,0,
69,2020-04-02,2020-04-01,Thursday,MIT-010,MITRAKU FISH ROLL 250 GR X 25 PACK,MITRAKU,6.0,PACK,13000.0,13000.0,78000.0,1.0,RETRO,asli,bersih,0,
70,2020-04-02,2020-04-01,Thursday,MIT-011,MITRAKU FISH ROLL 1000 GR X 10 PACK,MITRAKU,6.0,PACK,46000.0,46000.0,276000.0,1.0,RETRO,asli,bersih,0,
71,2020-04-02,2020-04-01,Thursday,MIT-012,MITRAKU FISH TOFU 500 GR X 20 PACK,MITRAKU,6.0,PACK,24900.0,24900.0,149400.0,1.0,RETRO,asli,bersih,0,
72,2020-04-02,2020-04-01,Thursday,MIT-014,MITRAKU SCALLOP 400 GR X 23 PACK,MITRAKU,6.0,PACK,18700.0,18700.0,112200.0,1.0,RETRO,asli,bersih,0,
73,2020-04-02,2020-04-01,Thursday,MIT-016,MITRAKU FISH CAKE SINGAPORE 1000 GR X 10,MITRAKU,6.0,PACK,52000.0,52000.0,312000.0,1.0,RETRO,asli,bersih,0,
